"question","prediction","references"
"What is happening in the audio?","An orchestra is rehearsing.","A large crowd cheers and applauds
An audience screams and gives applause
Continuous applause and cheering
An audience screams and gives applause
An audience cheers"
"What is happening in the audio?","Engine revving followed by a loud explosion","Popping and crackling repeats as men yell and laugh
A vehicle is running and crackling and popping as people laugh
People yell and laugh as a motor sputters and pops
Men screeching and shouting while a vehicle is revving and backfiring loudly
People yell and laugh as a vehicle approaches and sputters"
"What is happening in the audio?","A man speaks as water rushes by","An engine idles consistently before sputtering some
A motorcycle engine is idling
A sputtering motor idles roughly
Sputtering and clanking of an idling powerful engine
An engine is idling while people speak"
"What is happening in the audio?","Birds chirp and a horse snorts","A toilet flushes quickly
A toilet flushes loudly and water runs down through the toilet and then gurgles at the bottom
A toilet flushes and water drains
A loud rumble followed by a toilet flushing
A toilet flushes and water drains"
"What is happening in the audio?","An engine is idling and people are talking","Distant men speak as a spray can nozzle is depressed
While a man talks in the distance, a sprayer sprays multiple times
Intermittent spraying is accompanied by men speaking
A spray hisses followed by a man speaking and low rumbling in the background
A person sprays liquid onto a hard surface as a man speaks and vehicles pass by"
"What is happening in the audio?","A man speaks with insects buzzing in the background","A man speaks as crickets sing
A man speaks as crickets sing
A man speaks as crickets sing
A man speaks as crickets sing
Insects chirp and men speak"
"What is happening in the audio?","People are talking and laughing near a waterfall.","Several insects fly while two men talk
Insects buzz and men speak
Many insects are buzzing as a man are speaking
Insects buzz as men speak
Insects buzz around and men talk"
"What is happening in the audio?","A man talks while something sizzles in the background","A man talks followed by a woman shouting
A man speaks as water overflows making a hiss noise and a woman yells
A man speaks then a woman yells
A man speaks then a woman panics
An adult man speaks and a woman exclaims nervously"
"What is happening in the audio?","An emergency vehicle passes by with its siren on","A motor vehicle roars, drowning out people speaking in the background
Water rushes and then a vehicle zooms past
Water rushes by followed by a motorcycle zooming by in the distance
A motor vehicle accelerate
A vehicle with a diesel engine accelerates"
"What is happening in the audio?","Someone is yelling.","A motor runs and stops, and animals squawk and croak
Submachine gun fire along with creature sound effects that continues after gunfire stops
Gunshots fire as a frog croaks
A motor sputters, animals croak, and a person exclaims
A motor runs choppily, followed by an animal croaking, and a person exclaiming"
"What is happening in the audio?","A horse neighs and whinnies","Birds chirp in the background while a horse neighs followed by a girl speaking
A young woman speaks and then a horse neighs in the background
A horse neighs and a girl talks
A bird tweets, a horse whinnies, and a girl speaks
Birds chirp then a girl speaks and a horse neighs"
"What is happening in the audio?","An engine rumbles in the distance","A soft wind underscores a woman laughing
Distant waters roar amid foreground jostling and a gasp
Water is gurgling in a tank
Water is gurgling in a tank
Water is gurgling in a tank"
"What is happening in the audio?","A man speaks while a vehicle moves in the background","Here comes the train and it starts to blow the horn and get close
A train horn sounds and railroad crossing ring
A train horn sounds and approaches as crossing bells ring
A horn is blown and increases in strength
A horn loudly blares"
"What is happening in the audio?","A person snoring and a woman speaking","Young female child snoring and breathing deeply
A recorded voice speaks briefly as a man snores
A man snores loudly as a recorded voice speaks in the background
A person snores as birds chirp softly in the distance
Distant faint rustling and clattering with nearby wheezing and snoring"
"What is happening in the audio?","A man is speaking and an engine is idling","Some men converse over an engine running
A motorcycle engine revs and a man speaks
A man speaks as a small engine revs
A motorcycle engine revs as a man speaks
A motorcycle engine runs and a man speaks"
"What is happening in the audio?","A clock ticking","A consistent ticking pattern
A clock ticktocks continuously
A repeated ticking
The ticktock of a clock arm repeatedly moving back and forth
A clock ticktocks"
"What is happening in the audio?","Horses galloping and people talking","Water splashes and wind noise is made into a microphone
Water splashes and wind blows as birds chirp
The wind blares loudly against some clothing and water splashes in a river
Water splashes as wind noise takes place in a microphone
Water splashes and wind blows"
"What is happening in the audio?","A vehicle accelerates loudly","A race car approaches quickly and slows down squealing tires
A mechanical buzzing getting louder
A vehicle accelerates before slowing down and squealing tires
A race car approaches quickly squealing tires
A race car accelerates quickly before decelerating and squealing tires"
"What is happening in the audio?","Steam hisses and water splashes as water pours from a faucet","A man speaks while a machine runs before a smoke alarm beeps
A man speaks, followed by an electronic beep and another man speaking
A man speaks and a smoke alarm beeps
A man speaks then makes a device beep
A man speaks followed by a two beeps and another man speaking"
"What is happening in the audio?","Wind blows hard as a vehicle passes by","A boat engine runs and wind blows while a man speaks and women scream
A boat runs and wind blows while a man speaks and women cheer
An engine buzzing with wind and brief speech
Humming of a motor with people screaming then a woman speaks as wind blows hard and water splashes
Girls scream and a man speaks as wind blows and a boat motor runs"
"What is happening in the audio?","A large engine idles and a man speaks","A person uses a saw to cut some wood
An engine rumbling followed by a mechanical buzzing
An engine revs loudly followed by some men talking and a saw cutting through metal
An engine idles continuously
An engine runs and people speak as cutting takes place"
"What is happening in the audio?","Ambience is being recorded.","Someone whistles a tune
Someone whistles a tune
A person is whistling
Someone whistles a song
A person whistling a melody"
"What is happening in the audio?","A man speaks while a car engine idles in the background","A man speaks as a car is passing by
A man speaks as a car is passing by
A man talks while vehicles pass by
A man speaks and wind blows while a car is passing by
A man speaks while wind blows and a car is passing by"
"What is happening in the audio?","Someone is laughing.","Loud intermittent buzzing with intermittent laughter
A baby laugh at a sputter
Someone makes a blowing sound and a baby laughs
A person makes a snoring noise and a baby laughs
A person blows raspberries while a baby laughs"
"What is happening in the audio?","Someone snoring softly","Someone snores nearby
Continuous snoring
A person snores
Someone is snoring while sleeping
A person is snoring while sleeping"
"What is happening in the audio?","A rooster is crowing.","Several ducks quack and cocks crow far away
Ducks quack continuously
Ducks quack lazily as other birds call out in the distance
A rooster crows and a duck quacks while people speak in the background
Cows moo and are then joined by rooster crowing and then ducks quacking"
